file,n_rows,t0_ms,t1_ms
Subj_02_MMH_One_L_04kg_Trial_1_EMG_data.csv,31650,1600944321316.0,1600944381685.54
Subj_02_MMH_One_L_04kg_Trial_2_EMG_data.csv,31050,1600944429291.0,1600944488159.78
Subj_02_MMH_One_L_04kg_Trial_3_EMG_data.csv,34450,1600944498433.0,1600944564942.45
Subj_02_MMH_One_R_02kg_Trial_1_EMG_data.csv,34200,1600943682331.0,1600943745126.58
Subj_02_MMH_One_R_02kg_Trial_2_EMG_data.csv,22409,1600943751516.0,1600943794143.72
Subj_02_MMH_One_R_02kg_Trial_3_EMG_data.csv,30900,1600943810568.0,1600943867877.5
Subj_02_MMH_One_R_04kg_Trial_1_EMG_data.csv,32250,1600944113501.0,1600944174330.05
Subj_02_MMH_One_R_04kg_Trial_2_EMG_data.csv,33850,1600944181310.0,1600944246380.07
Subj_02_MMH_One_R_04kg_Trial_3_EMG_data.csv,32500,1600944254510.0,1600944317794.19
Subj_02_MVC_All_L_EMG_data.csv,36600,1600945882326.0,1600945954737.69
Subj_02_MVC_All_R_EMG_data.csv,36000,1600945885549.0,1600945957116.35
Subj_03_Isokin_L_02kg_40bpm_EMG_data.csv,36600,1601655275423.0,1601655344224.83
Subj_03_Isokin_L_02kg_60bpm_EMG_data.csv,36700,1601655399908.0,1601655468664.87
Subj_03_Isokin_L_02kg_80bpm_EMG_data.csv,32100,1601655487910.0,1601655547852.69
Subj_03_Isokin_L_02kg_St_EMG_data.csv,16050,1601655230240.0,1601655260104.62
Subj_03_Isokin_L_04kg_40bpm_EMG_data.csv,39900,1601656154017.0,1601656227687.93
Subj_03_Isokin_L_04kg_60bpm_EMG_data.csv,37650,1601656250401.0,1601656319926.64
Subj_03_Isokin_L_04kg_80bpm_EMG_data.csv,29550,1601656398937.0,1601656453345.83
Subj_03_Isokin_L_04kg_St_EMG_data.csv,14550,1601656113165.0,1601656139964.85
Subj_03_Isokin_R_02kg_40bpm_EMG_data.csv,37650,1601654853188.0,1601654920765.01
Subj_03_Isokin_R_02kg_60bpm_EMG_data.csv,33900,1601654986841.0,1601655049507.8
Subj_03_Isokin_R_02kg_80bpm_EMG_data.csv,31200,1601655101363.0,1601655157606.51
Subj_03_Isokin_R_02kg_St_EMG_data.csv,16500,1601654727326.0,1601654755002.91
Subj_03_Isokin_R_04kg_40bpm_EMG_data.csv,42000,1601655749675.0,1601655826874.82
Subj_03_Isokin_R_04kg_60bpm_EMG_data.csv,37500,1601655863954.0,1601655932918.84
Subj_03_Isokin_R_04kg_80bpm_EMG_data.csv,42600,1601655962323.0,1601656041832.12
Subj_03_Isokin_R_04kg_St_EMG_data.csv,18300,1601655681479.0,1601655714650.41
Subj_03_MMH_Bim_L_02kg_Trial_1_EMG_data.csv,53100,1601650214891.0,1601650314334.95
Subj_03_MMH_Bim_L_02kg_Trial_2_EMG_data.csv,36600,1601650332998.0,1601650403551.15
Subj_03_MMH_Bim_L_02kg_Trial_3_EMG_data.csv,39750,1601650784889.0,1601650855400.78
Subj_03_MMH_Bim_L_08kg_Trial_1_EMG_data.csv,38850,1601650899841.0,1601650973877.94
Subj_03_MMH_Bim_L_08kg_Trial_2_EMG_data.csv,46950,1601650999300.0,1601651087661.78
Subj_03_MMH_Bim_L_08kg_Trial_3_EMG_data.csv,42600,1601651151323.0,1601651230291.31
Subj_03_MMH_Bim_L_12kg_Trial_1_EMG_data.csv,46200,1601651338780.0,1601651425358.01
